genre,元旦,六月节,劳动节,哥伦布日,圣帕特里克节,复活节,总统日,情人节,母亲节,独立日,耶稣受难日,阵亡将士纪念日,马丁·路德·金日
剧情,164,166,272,11,51,22,162,38,19,118,113,131,178
惊悚,41,39,104,0,22,8,82,7,5,81,59,57,71
喜剧,54,70,156,0,11,9,38,17,9,38,42,58,43
犯罪,32,47,61,0,12,3,52,11,3,40,48,36,66
动作,30,35,71,1,19,9,62,6,5,42,50,34,35
科幻,26,24,101,1,9,2,46,3,4,29,30,37,19
爱情,28,33,82,0,14,7,28,7,7,18,28,45,26
恐怖,22,32,62,0,5,4,38,3,5,35,19,44,21
悬疑,18,20,52,0,5,4,40,1,2,30,24,29,48
冒险,29,25,54,1,2,11,37,6,2,12,35,29,29
奇幻,21,22,57,0,3,4,27,4,6,23,11,18,16
家庭,16,17,37,0,1,1,14,4,3,10,10,12,11
历史,9,17,25,0,0,6,10,1,1,5,9,9,3
动画,17,5,16,0,1,0,9,4,2,6,4,6,6
战争,7,4,14,0,0,4,13,3,2,2,10,10,2
音乐,9,5,19,0,1,1,5,1,1,4,3,10,0
纪录,5,9,5,0,2,0,8,0,1,2,3,2,1
西部,0,4,5,0,1,0,7,2,0,4,1,3,2
电视电影,1,0,1,0,2,0,0,0,0,0,1,1,0
